designation,A,B,t,n,d,dh,p,e,capacity,failure,Nr
ISA 130130,130.0,130.0,10.0,6,18.0,20.0,60.0,35.0,535.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,7,18.0,20.0,60.0,35.0,535.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,18.0,20.0,60.0,35.0,535.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,2,20.0,22.0,65.0,40.0,277.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,20.0,22.0,65.0,40.0,362.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,20.0,22.0,65.0,40.0,447.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,20.0,22.0,65.0,40.0,523.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,6,20.0,22.0,65.0,40.0,523.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,7,20.0,22.0,65.0,40.0,523.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,20.0,22.0,65.0,40.0,523.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,2,22.0,24.0,75.0,45.0,287.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,22.0,24.0,75.0,45.0,386.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,22.0,24.0,75.0,45.0,484.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,5,22.0,24.0,75.0,45.0,511.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,6,22.0,24.0,75.0,45.0,511.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,7,22.0,24.0,75.0,45.0,511.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,22.0,24.0,75.0,45.0,511.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,2,24.0,26.0,80.0,45.0,285.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,3,24.0,26.0,80.0,45.0,390.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,10.0,4,24.0,26.0,80.0,45.0,491.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,5,24.0,26.0,80.0,45.0,500.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,6,24.0,26.0,80.0,45.0,500.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,7,24.0,26.0,80.0,45.0,500.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,10.0,8,24.0,26.0,80.0,45.0,500.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,12.0,13.0,40.0,25.0,311.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,12.0,13.0,40.0,25.0,366.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,12.0,13.0,40.0,25.0,422.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,12.0,13.0,40.0,25.0,477.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,6,12.0,13.0,40.0,25.0,532.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,7,12.0,13.0,40.0,25.0,587.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,8,12.0,13.0,40.0,25.0,643.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,2,14.0,15.0,50.0,30.0,330.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,14.0,15.0,50.0,30.0,407.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,14.0,15.0,50.0,30.0,479.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,14.0,15.0,50.0,30.0,551.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,6,14.0,15.0,50.0,30.0,622.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,7,14.0,15.0,50.0,30.0,671.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,14.0,15.0,50.0,30.0,671.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,16.0,18.0,55.0,35.0,329.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,16.0,18.0,55.0,35.0,416.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,16.0,18.0,55.0,35.0,498.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,16.0,18.0,55.0,35.0,574.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,6,16.0,18.0,55.0,35.0,650.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,7,16.0,18.0,55.0,35.0,650.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,16.0,18.0,55.0,35.0,650.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,18.0,20.0,60.0,35.0,327.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,18.0,20.0,60.0,35.0,421.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,18.0,20.0,60.0,35.0,515.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,18.0,20.0,60.0,35.0,597.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,6,18.0,20.0,60.0,35.0,636.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,7,18.0,20.0,60.0,35.0,636.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,18.0,20.0,60.0,35.0,636.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,20.0,22.0,65.0,40.0,332.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,20.0,22.0,65.0,40.0,434.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,20.0,22.0,65.0,40.0,537.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,20.0,22.0,65.0,40.0,622.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,6,20.0,22.0,65.0,40.0,622.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,7,20.0,22.0,65.0,40.0,622.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,20.0,22.0,65.0,40.0,622.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,22.0,24.0,75.0,45.0,345.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,22.0,24.0,75.0,45.0,463.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,22.0,24.0,75.0,45.0,581.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,5,22.0,24.0,75.0,45.0,607.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,6,22.0,24.0,75.0,45.0,607.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,7,22.0,24.0,75.0,45.0,607.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,22.0,24.0,75.0,45.0,607.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,2,24.0,26.0,80.0,45.0,342.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,3,24.0,26.0,80.0,45.0,468.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,12.0,4,24.0,26.0,80.0,45.0,593.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,5,24.0,26.0,80.0,45.0,593.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,6,24.0,26.0,80.0,45.0,593.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,7,24.0,26.0,80.0,45.0,593.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,12.0,8,24.0,26.0,80.0,45.0,593.0,Failure governed by Rupture of critical section,2
ISA 130130,130.0,130.0,15.0,2,12.0,13.0,40.0,25.0,389.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,15.0,3,12.0,13.0,40.0,25.0,458.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,15.0,4,12.0,13.0,40.0,25.0,527.0,Failure governed by Block Shear,2
ISA 130130,130.0,130.0,15.0,5,12.0,13.0,40.0,25.0,596.0,Failure governed by Block Shear,2
